James,111366072,UA-111366072-38,172259152
BT,32887470,UA-32887470-90,113853871
Aasif,85617319,UA-85617319-46,138427143
James,108086168,UA-108086168-34,164644021
James,85617319,UA-85617319-18,134262060
Aasif,108789786,UA-108789786-1,163471351
Justin,108704329,UA-108704329-1,163380726
Ben,111366072,UA-111366072-41,173637690
Aasif,16450730,UA-16450730-97,110844055
Aasif,13207951,UA-13207951-145,106356738
Ben,108086168,UA-108086168-51,166514819
Justin,16450730,UA-16450730-91,110245263
Ben,34286023,UA-34286023-90,110029967
Gus,108725130,UA-108725130-8,165994147
Aasif,29155411,UA-29155411-97,111988631
Ben,3459154,UA-3459154-152,110616453
Gus,30911028,UA-30911028-85,114491329
James,108725130,UA-108725130-34,177937793
Justin,111366072,UA-111366072-51,174578655
Joe,3459154,UA-3459154-143,93872949
Jay,109078269,UA-109078269-1,163805203
Ben,91314234,UA-91314234-38,155256613
Joe,111366072,UA-111366072-52,174736998
Tim,91314234,UA-91314234-17,148234924
Justin,97235056,UA-97235056-1,147794608
Jay,16337620,UA-16337620-146,94251471
James,85617319,UA-85617319-16,134089408
Joe,52934007,UA-52934007-1,88701610
Gus,90985221,UA-90985221-4,139310726
BT,119326099,UA-119326099-9,177694462
Gus,85617319,UA-85617319-20,134599820
Tim,97695978,UA-97695978-1,148435843
Gus,85617319,UA-85617319-34,136086909
James,92965265,UA-92965265-1,141864609
Justin,107488557,UA-107488557-3,162400250
Tim,108725130,UA-108725130-29,176468714
Justin,3459154,UA-3459154-165,169330602
Joe,108082818,UA-108082818-4,175709572
BT,91314234,UA-91314234-42,157274761
James,85617319,UA-85617319-27,135288727
Aasif,108725130,UA-108725130-22,170679051
Joe,3459154,UA-3459154-166,169960779
Aasif,119326099,UA-119326099-5,176475270
Ben,111366072,UA-111366072-15,169136942
Ben,108725130,UA-108725130-4,165508149
Ben,108799838,UA-108799838-1,163492234
James,108082818,UA-108082818-3,175600141
Gus,119326099,UA-119326099-3,176118339
Justin,108725130,UA-108725130-28,175213365
Joe,111366072,UA-111366072-10,167978741
Jay,111366072,UA-111366072-46,173970920
Tim,119326099,UA-119326099-2,175892214
Tim,107488557,UA-107488557-2,161836778
Joe,111366072,UA-111366072-48,174499711
Joe,108725130,UA-108725130-24,170617554
James,32887470,UA-32887470-86,113610326
James,111366072,UA-111366072-39,172266401
Aasif,108086168,UA-108086168-26,164054891
Ben,34286023,UA-34286023-103,124057510
Joe,29155411,UA-29155411-103,113321729
BT,29155411,UA-29155411-100,112471958
BT,108086168,UA-108086168-6,163542405
Jay,16450730,UA-16450730-85,89909358
Justin,108086168,UA-108086168-8,163703965
Aasif,111366072,UA-111366072-21,170262139
Ben,119326099,UA-119326099-13,178034747
Jay,29155411,UA-29155411-90,111129844
Jay,12559563,UA-12559563-109,109143691
Jay,29155411,UA-29155411-88,110692144
Tim,91314234,UA-91314234-9,140912472
Tim,114188216,UA-114188216-1,169849843
Aasif,108086168,UA-108086168-13,163908269
Gus,119326099,UA-119326099-10,177726490
Gus,91314234,UA-91314234-10,141077415
Jay,32887470,UA-32887470-98,115282768
Tim,108725130,UA-108725130-32,177803940
Jay,91314234,UA-91314234-31,153934237
Joe,119326099,UA-119326099-12,177793066
James,17322076,UA-17322076-106,89050785
Tim,30911028,UA-30911028-89,116377474
Ben,16450730,UA-16450730-92,110242472
BT,111366072,UA-111366072-19,170045640
Justin,108086168,UA-108086168-32,164550331
Ben,32887470,UA-32887470-95,114348265
Gus,108086168,UA-108086168-1,162493525
Justin,12559563,UA-12559563-96,90778536
Gus,3459154,UA-3459154-162,164158283
Justin,17322076,UA-17322076-92,76027648
Tim,32887470,UA-32887470-114,121989300
BT,47214002,UA-47214002-1,81075602
Tim,109078787,UA-109078787-1,163822882
Tim,109030680,UA-109030680-1,163760295
Aasif,32887470,UA-32887470-113,121900921
Jay,80754537,UA-80754537-2,125612407
Joe,30911028,UA-30911028-12,59100548
Aasif,85617319,UA-85617319-2,131433521
BT,32887470,UA-32887470-68,86290991
BT,108086168,UA-108086168-21,163882422
BT,30911028,UA-30911028-56,86816331
Justin,3459154,UA-3459154-102,55349734
Jay,32887470,UA-32887470-105,117584462
Joe,13207951,UA-13207951-44,32315177
Gus,85617319,UA-85617319-15,134072805
BT,16337620,UA-16337620-77,48443190
